,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
1943,"frozenset({'call_depth_median', 'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.075,0.325,0.033333333,0.444444444,1.367521368,0.008958333,1.215,,
1872,"frozenset({'call_depth_median', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.075,0.325,0.033333333,0.444444444,1.367521368,0.008958333,1.215,,
1882,"frozenset({'call_depth_median', 'global_nesting_depth_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.075,0.325,0.033333333,0.444444444,1.367521368,0.008958333,1.215,,
1474,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.075,0.325,0.033333333,0.444444444,1.367521368,0.008958333,1.215,,
3349,"frozenset({'call_depth_median', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.075,0.325,0.033333333,0.444444444,1.367521368,0.008958333,1.215,,
123,frozenset({'trace_length_median_neg'}),frozenset({'KLEE_data'}),0.491666667,0.325,0.216666667,0.440677966,1.355932203,0.056875,1.206818182,,
743,"frozenset({'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.458333333,0.325,0.2,0.436363636,1.342657343,0.051041667,1.197580645,,
783,"frozenset({'global_nesting_depth_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.141666667,0.325,0.058333333,0.411764706,1.266968326,0.012291667,1.1475,,
99,frozenset({'trace_length_max_neg'}),frozenset({'KLEE_data'}),0.491666667,0.325,0.2,0.406779661,1.251629726,0.040208333,1.137857143,,
3504,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.083333333,0.325,0.033333333,0.4,1.230769231,0.00625,1.125,,
3752,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.083333333,0.325,0.033333333,0.4,1.230769231,0.00625,1.125,,
4400,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg', 'call_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.083333333,0.325,0.033333333,0.4,1.230769231,0.00625,1.125,,
117,frozenset({'call_depth_max_neg'}),frozenset({'KLEE_data'}),0.466666667,0.325,0.183333333,0.392857143,1.208791209,0.031666667,1.111764706,,
127,frozenset({'global_nesting_depth_median_neg'}),frozenset({'KLEE_data'}),0.366666667,0.325,0.141666667,0.386363636,1.188811189,0.0225,1.1,,
572,"frozenset({'trace_length_median', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.066666667,0.325,0.025,0.375,1.153846154,0.003333333,1.08,,
1195,"frozenset({'trace_length_median', 'trace_length_max', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.066666667,0.325,0.025,0.375,1.153846154,0.003333333,1.08,,
279,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max'})",frozenset({'KLEE_data'}),0.066666667,0.325,0.025,0.375,1.153846154,0.003333333,1.08,,
2254,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.116666667,0.325,0.041666667,0.357142857,1.098901099,0.00375,1.05,,
402,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.108333333,0.325,0.033333333,0.307692308,0.946745562,-0.001875,0.975,,
632,"frozenset({'call_depth_median', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.108333333,0.325,0.033333333,0.307692308,0.946745562,-0.001875,0.975,,
389,"frozenset({'trace_length_max_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.108333333,0.325,0.033333333,0.307692308,0.946745562,-0.001875,0.975,,
672,"frozenset({'call_depth_median', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.141666667,0.325,0.041666667,0.294117647,0.904977376,-0.004375,0.95625,,
87,frozenset({'call_depth_median'}),frozenset({'KLEE_data'}),0.391666667,0.325,0.108333333,0.276595745,0.85106383,-0.018958333,0.933088235,,
37,frozenset({'global_nesting_depth_max'}),frozenset({'KLEE_data'}),0.441666667,0.325,0.108333333,0.245283019,0.754716981,-0.035208333,0.894375,,
264,"frozenset({'trace_length_max', 'call_depth_median'})",frozenset({'KLEE_data'}),0.258333333,0.325,0.058333333,0.225806452,0.694789082,-0.025625,0.871875,,
18,frozenset({'trace_length_max'}),frozenset({'KLEE_data'}),0.483333333,0.325,0.108333333,0.224137931,0.689655172,-0.04875,0.87,,
227,"frozenset({'trace_length_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.458333333,0.325,0.1,0.218181818,0.671328671,-0.048958333,0.863372093,,
77,frozenset({'global_nesting_depth_median'}),frozenset({'KLEE_data'}),0.241666667,0.325,0.05,0.206896552,0.636604775,-0.028541667,0.851086957,,
65,frozenset({'trace_length_median'}),frozenset({'KLEE_data'}),0.491666667,0.325,0.1,0.203389831,0.625814863,-0.059791667,0.847340426,,
592,"frozenset({'global_nesting_depth_median', 'call_depth_median'})",frozenset({'KLEE_data'}),0.166666667,0.325,0.033333333,0.2,0.615384615,-0.020833333,0.84375,,
1155,"frozenset({'trace_length_median', 'trace_length_max', 'call_depth_median'})",frozenset({'KLEE_data'}),0.25,0.325,0.05,0.2,0.615384615,-0.03125,0.84375,,
1405,"frozenset({'global_nesting_depth_median', 'call_depth_median', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.166666667,0.325,0.033333333,0.2,0.615384615,-0.020833333,0.84375,,
366,"frozenset({'call_depth_median', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.208333333,0.325,0.041666667,0.2,0.615384615,-0.026041667,0.84375,,
1224,"frozenset({'trace_length_median', 'trace_length_max', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.175,0.325,0.033333333,0.19047619,0.586080586,-0.023541667,0.833823529,,
583,"frozenset({'trace_length_median', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.175,0.325,0.033333333,0.19047619,0.586080586,-0.023541667,0.833823529,,
292,"frozenset({'trace_length_max', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.175,0.325,0.033333333,0.19047619,0.586080586,-0.023541667,0.833823529,,
