,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2562,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_max', 'call_depth_median', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.125,0.675,0.125,1,1.481481481,0.040625,inf
982,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'call_depth_median'})",frozenset({'KLEE_data'}),0.175,0.675,0.166666667,0.952380952,1.410934744,0.048541667,6.825
1010,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.175,0.675,0.166666667,0.952380952,1.410934744,0.048541667,6.825
244,"frozenset({'global_nesting_depth_max', 'call_depth_max'})",frozenset({'KLEE_data'}),0.175,0.675,0.166666667,0.952380952,1.410934744,0.048541667,6.825
941,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'trace_length_median'})",frozenset({'KLEE_data'}),0.166666667,0.675,0.158333333,0.95,1.407407407,0.045833333,6.5
1926,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'call_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.166666667,0.675,0.158333333,0.95,1.407407407,0.045833333,6.5
1601,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.141666667,0.675,0.133333333,0.941176471,1.394335512,0.037708333,5.525
1542,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_max', 'call_depth_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.125,0.9375,1.388888889,0.035,5.2
1174,"frozenset({'call_depth_median', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.125,0.9375,1.388888889,0.035,5.2
1456,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_max', 'trace_length_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.125,0.9375,1.388888889,0.035,5.2
610,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_max'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.125,0.9375,1.388888889,0.035,5.2
1985,"frozenset({'global_nesting_depth_max', 'call_depth_median', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.125,0.9375,1.388888889,0.035,5.2
2325,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_max', 'call_depth_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.125,0.9375,1.388888889,0.035,5.2
1820,"frozenset({'trace_length_max', 'call_depth_median', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.1,0.675,0.091666667,0.916666667,1.358024691,0.024166667,3.9
2446,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_median', 'global_nesting_depth_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.1,0.675,0.091666667,0.916666667,1.358024691,0.024166667,3.9
377,"frozenset({'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.183333333,0.675,0.166666667,0.909090909,1.346801347,0.042916667,3.575
